CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Street,Supervisor District,Neighborhood,Police District,Latitude,Longitude,Point,Source,Media URL,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Current Police Districts,DELETE - Zip Codes,DELETE - Police Districts,DELETE - Neighborhoods,DELETE - Neighborhoods_from_fyvs_ahh9,DELETE - 2017 Fix It Zones,DELETE - SF Find Neighborhoods,Civic Center Harm Reduction Project Boundary,DELETE - Current Supervisor Districts,Fix It Zones as of 2017-11-06 ,Invest In Neighborhoods (IIN) Areas,DELETE - HSOC Zones,Fix It Zones as of 2018-02-07,"CBD, BID and GBD Boundaries as of 2017",Central Market/Tenderloin Boundary,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary Polygon - Updated,HSOC Zones as of 2018-06-05,OWED Public Spaces,Parks Alliance CPSI (27+TL sites),Neighborhoods
12813943,08/24/2020 01:44:25 PM,08/28/2020 07:07:29 PM,08/28/2020 07:07:29 PM,Closed,Case Resolved - sent duplicates to tree crew,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Damaged_vandalism,"1407 SHAFTER AVE, SAN FRANCISCO, CA, 94124",SHAFTER AVE,10,Bayview,BAYVIEW,37.728955,-122.38726167,"(37.728955, -122.38726167)",Mobile/Open311,http://mobile311.sfgov.org/reports/12813943/photos,86,2,9,1,8,10,3,58,3,1,1,,86,,9,,,,,,,2,,,,,86
11868293,12/27/2019 06:02:58 PM,01/26/2020 11:00:37 PM,01/26/2020 11:00:37 PM,Closed,Transferred - Your request falls under the responsibility of The United States Postal Service (USPS) and we have submitted the request to them.,US Postal Service Maintenance Queue,Graffiti,Graffiti on Mail_box,Mail_box - Offensive,Intersection of FILLMORE ST and PINE ST,FILLMORE ST,5,Lower Pacific Heights,NORTHERN,37.787959387257,-122.433660702102,"(37.78795939, -122.4336607)",Mobile/Open311,http://mobile311.sfgov.org/reports/11868293/photos,103,4,6,30,1,13,6,29490,9,27,27,,103,,6,,,,,,,1,,,,,103
11868292,12/27/2019 06:02:52 PM,01/26/2020 11:00:37 PM,01/26/2020 11:00:37 PM,Closed,Transferred - Your request falls under the responsibility of The United States Postal Service (USPS) and we have submitted the request to them.,US Postal Service Maintenance Queue,Graffiti,Graffiti on Mail_box,Mail_box - Offensive,"2300 PINE ST, SAN FRANCISCO, CA, 94115",PINE ST,2,Lower Pacific Heights,NORTHERN,37.78808333,-122.43367833,"(37.78808333, -122.43367833)",Mobile/Open311,http://mobile311.sfgov.org/reports/11868292/photos,103,4,6,30,1,13,6,29490,9,27,27,,103,,6,,,,,,,1,,,,,103
11868287,12/27/2019 06:01:00 PM,01/06/2020 10:00:19 PM,01/06/2020 10:00:19 PM,Closed,Case Resolved - Closed: No response from PG & E- GRAFFITI in 1 month,DPW Ops Queue,Graffiti,Graffiti on Pole,Pole - Not_Offensive,"3235 FILLMORE ST, SAN FRANCISCO, CA, 94123",FILLMORE ST,2,Union Street,NORTHERN,37.79947,-122.43598833,"(37.79947, -122.43598833)",Mobile/Open311,http://mobile311.sfgov.org/reports/11868287/photos,15,4,6,13,1,13,6,57,9,17,17,,15,,6,,,,,,,1,,,,,15
11868289,12/27/2019 06:02:00 PM,12/27/2019 06:09:13 PM,12/27/2019 06:09:13 PM,Closed,Case is a Duplicate - This issue has already been reported through an earlier request.,Parking Enforcement Dispatch Queue,Parking Enforcement,Parking_on_Sidewalk,Parking Enforcement,"34 POINT LOBOS AVE, SAN FRANCISCO, CA, 94121",POINT LOBOS AVE,1,Sutro Heights,RICHMOND,37.779855034442,-122.503618663568,"(37.77985503, -122.50361866)",Mobile/Open311,,6,8,4,29,2,11,9,55,6,26,26,,6,,4,,,,,,,1,,,,,6
11868283,12/27/2019 06:01:00 PM,12/27/2019 06:07:20 PM,12/27/2019 06:07:20 PM,Closed,Case is a Duplicate - This issue has already been reported through an earlier request.,Parking Enforcement Dispatch Queue,Parking Enforcement,Other_Illegal_Parking,Parking Enforcement,"7028 GEARY BLVD, SAN FRANCISCO, CA, 94121",GEARY BLVD,1,Outer Richmond,RICHMOND,37.779813957386,-122.494933514609,"(37.77981396, -122.49493351)",Mobile/Open311,http://mobile311.sfgov.org/reports/11868283/photos,8,8,4,29,2,11,9,55,6,26,26,,8,,4,,,,,,,1,,,,,8
11868297,12/27/2019 06:04:00 PM,12/27/2019 06:48:56 PM,12/27/2019 06:48:56 PM,Closed,Case Resolved - Officer responded to request under CAD # 193612849. Unable to Locate.,Parking Enforcement Dispatch Queue,Parking Enforcement,Parking_on_Sidewalk,Parking Enforcement,"354 POINT LOBOS AVE, SAN FRANCISCO, CA, 94121",POINT LOBOS AVE,1,Sutro Heights,RICHMOND,37.780179377045,-122.507156603602,"(37.78017938, -122.5071566)",Mobile/Open311,,6,8,4,29,2,11,9,55,6,26,26,,6,,4,,,,,,,1,,,,,6
11868301,12/27/2019 06:04:00 PM,12/27/2019 06:25:47 PM,12/27/2019 06:25:47 PM,Closed,Case Resolved - Officer responded to request under CAD # 193612865.  Citation was issued.,Parking Enforcement Dispatch Queue,Parking Enforcement,Parking_on_Sidewalk,Silver - Honda CR-V - 6WCS210,"633 VIENNA ST, SAN FRANCISCO, CA, 94112",VIENNA ST,11,Excelsior,INGLESIDE,37.71822412,-122.43191634,"(37.71822412, -122.43191634)",Phone,,90,9,1,7,6,9,4,28861,7,5,5,,90,,1,,,,,,,2,,,,,90
11868291,12/27/2019 06:02:00 PM,12/27/2019 06:54:31 PM,12/27/2019 06:54:31 PM,Closed,Case Resolved,DPW BSM Queue,Graffiti,Graffiti on Other_enter_additional_details_below,Other_enter_additional_details_below - Offensive,Intersection of FILLMORE ST and MOULTON ST,FILLMORE ST,2,Union Street,NORTHERN,37.79940333,-122.43596667,"(37.79940333, -122.43596667)",Mobile/Open311,http://mobile311.sfgov.org/reports/11868291/photos,15,4,6,13,1,13,6,57,9,17,17,,15,,6,,,,,,,1,,,,,15
10382293,01/20/2019 01:50:00 PM,06/03/2020 08:30:47 PM,06/03/2020 08:30:47 PM,Closed,Administrative Closure - Administrative closure by Public Works,DPW Ops Queue,Graffiti,Graffiti on Street,Street - Offensive,"1250 SAN BRUNO AVE, SAN FRANCISCO, CA, 94110",SAN BRUNO AVE,10,Potrero Hill,MISSION,37.753606,-122.404303,"(37.753606, -122.404303)",Mobile/Open311,http://mobile311.sfgov.org/reports/10382293/photos,54,3,9,20,8,10,7,28859,4,19,19,23,54,,9,10,,,10,,,1,,,,,54
11571029,10/18/2019 07:54:00 PM,07/22/2020 08:34:56 AM,07/22/2020 08:34:56 AM,Closed,Case Resolved - SFMTA has responded to this issue.,SFMTA - Parking Enforcement - G,General Request - MTA,request_for_service,parking_enforcement - request_for_service,Intersection of BRANNAN ST and THE EMBARCADERO,BRANNAN ST,6,South Beach,SOUTHERN,37.784774780273,-122.38818359375,"(37.78477478, -122.38818359)",Phone,,31,1,10,8,9,6,2,28856,2,6,6,,31,,10,,,,,,,1,,,,,31
12814150,08/24/2020 02:09:00 PM,08/28/2020 05:58:00 PM,08/28/2020 05:58:00 PM,Closed,Case Resolved - answered TP question,Assessor - Real Property,General Request - ASSESSOR RECORDER,customer_callback,public_service_exemptions - customer_callback,"270 PARIS ST, SAN FRANCISCO, CA, 94112",PARIS ST,11,Excelsior,INGLESIDE,37.724449157715,-122.432998657227,"(37.72444916, -122.43299866)",Phone,,90,9,1,7,6,9,4,28861,7,5,5,,90,,1,,,,,,,2,,,,,90
12814152,08/24/2020 02:10:00 PM,08/28/2020 06:15:00 PM,08/28/2020 06:15:00 PM,Closed,Case Resolved - answered TP question,Assessor - Real Property,General Request - ASSESSOR RECORDER,customer_callback,public_service_exemptions - customer_callback,"501 BEALE ST, SAN FRANCISCO, CA, 94107",BEALE ST,6,South Beach,SOUTHERN,37.786224365234,-122.38956451416,"(37.78622437, -122.38956451)",Phone,,31,1,10,8,9,6,2,28855,2,6,6,,31,,10,,,,,,,1,,,,,31
12992555,10/06/2020 07:56:00 PM,10/12/2020 07:11:00 AM,10/12/2020 07:11:00 AM,Closed,No Action Required - Field Technician found light functioning properly on arrival. 10/12/2020.,PG and E - Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Wooden Pole,Intersection of GOETTINGEN ST and WILDE AVE,GOETTINGEN ST,10,Visitacion Valley,INGLESIDE,37.716060638428,-122.40209197998,"(37.71606064, -122.40209198)",Phone,,75,9,9,40,8,10,4,309,7,39,39,,75,,9,,,,,,,2,,,,,75
12814343,08/24/2020 02:41:57 PM,08/28/2020 04:38:06 AM,08/28/2020 04:38:06 AM,Closed,Case Resolved - Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Electronics,Intersection of GOLDEN GATE AVE and PIERCE ST,GOLDEN GATE AVE,5,Western Addition,NORTHERN,37.779144988094,-122.435244456656,"(37.77914499, -122.43524446)",Mobile/Open311,,97,4,11,39,11,15,8,29490,5,41,41,,97,,11,,,,,,,2,,,,,97
11868346,12/27/2019 06:16:00 PM,12/27/2019 06:21:49 PM,12/27/2019 06:21:49 PM,Closed,Case is a Duplicate - This issue has already been reported through an earlier request.,Parking Enforcement Dispatch Queue,Parking Enforcement,Parking_on_Sidewalk,Parking Enforcement,"711 29TH AVE, SAN FRANCISCO, CA, 94121",29TH AVE,1,Outer Richmond,RICHMOND,37.77582167,-122.488845,"(37.77582167, -122.488845)",Mobile/Open311,,8,8,4,29,2,11,9,55,6,26,26,,8,,4,,,,,,,1,,,,,8
11868335,12/27/2019 06:15:00 PM,12/27/2019 06:32:12 PM,12/27/2019 06:32:12 PM,Closed,Case Resolved - Officer responded to request under CAD # 193612880.  Citation was issued.,Parking Enforcement Dispatch Queue,Parking Enforcement,Parking_on_Sidewalk,Parking Enforcement,"3745 ANZA ST, SAN FRANCISCO, CA, 94121",ANZA ST,1,Outer Richmond,RICHMOND,37.77787704863,-122.488650763136,"(37.77787705, -122.48865076)",Mobile/Open311,http://mobile311.sfgov.org/reports/11868335/photos,8,8,4,29,2,11,9,55,6,26,26,,8,,4,,,,,,,1,,,,,8
11868340,12/27/2019 06:15:00 PM,12/27/2019 06:39:20 PM,12/27/2019 06:39:20 PM,Closed,Case Resolved - Officer responded to request under CAD # 193612901.  Citation was issued.,Parking Enforcement Dispatch Queue,Parking Enforcement,Blocking_Driveway_Cite_Tow,black - Ford Mustang - 7TKS886,"1555 REVERE AVE, SAN FRANCISCO, CA, 94124",REVERE AVE,10,Bayview,BAYVIEW,37.73107855,-122.38943641,"(37.73107855, -122.38943641)",Phone,,86,2,9,1,8,10,3,58,3,1,1,,86,,9,,,,,,,2,,,,,86
11868331,12/27/2019 06:13:00 PM,12/27/2019 06:18:14 PM,12/27/2019 06:18:14 PM,Closed,Case is a Duplicate - This issue has already been reported through an earlier request.,Parking Enforcement Dispatch Queue,Parking Enforcement,Parking_on_Sidewalk,white - white SUV - 6XHW568,"662 29TH AVE, SAN FRANCISCO, CA, 94121",29TH AVE,1,Outer Richmond,RICHMOND,37.776794220562,-122.488664763388,"(37.77679422, -122.48866476)",Mobile/Open311,http://mobile311.sfgov.org/reports/11868331/photos,8,8,4,29,2,11,9,55,6,26,26,,8,,4,,,,,,,1,,,,,8
10386019,01/21/2019 03:49:00 PM,06/03/2020 08:30:47 PM,06/03/2020 08:30:47 PM,Closed,Administrative Closure - Administrative closure by Public Works,DPW Ops Queue,Tree Maintenance,Trees - Tree_Other,Other,"1425 BAKER ST, SAN FRANCISCO, CA, 94115",BAKER ST,5,Lower Pacific Heights,RICHMOND,37.784273044059,-122.443247087539,"(37.78427304, -122.44324709)",Mobile/Open311,,103,8,11,31,11,15,9,29490,6,31,31,,103,,11,,,,,,,1,,,,,103
11868338,12/27/2019 06:15:00 PM,05/07/2020 03:33:42 PM,05/07/2020 03:33:42 PM,Closed,Case Resolved - tree has been removed,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Damaged_vandalism,Intersection of GEARY BLVD and FRANKLIN ST,GEARY BLVD,2,Cathedral Hill,NORTHERN,37.785480499268,-122.423027038574,"(37.7854805, -122.42302704)",Phone,,100,4,11,39,11,13,6,28858,9,41,41,,100,,11,,,,,10,,1,,,,,100
12165115,03/02/2020 09:11:00 PM,03/03/2020 06:28:00 AM,03/03/2020 06:28:00 AM,Closed,"Comment Noted - ONCE AGAIN, CONTACT THE CHP IF YOU ARE CONCERNED WITH OUT OF STATE PLATES BEING IN CALIFORNIA TOO LONG.",DPT Abandoned Vehicles Work Queue,General Request - MTA,followup_request,parking_enforcement - followup_request,Not associated with a specific address,,,,,0,0,"(0.0, 0.0)",Web,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11868327,12/27/2019 06:11:22 PM,01/08/2020 12:50:01 PM,01/08/2020 12:50:01 PM,Closed,Case Resolved - The sign shop has completed and closed this request.,DPT SignShop Queue,Sign Repair,Sign - Defaced,Other_Parking_Type - Defaced; support - OK,"622 FILLMORE ST, SAN FRANCISCO, CA, 94117",FILLMORE ST,5,Hayes Valley,NORTHERN,37.77524769156,-122.430945541938,"(37.77524769, -122.43094554)",Mobile/Open311,http://mobile311.sfgov.org/reports/11868327/photos,22,4,11,9,11,7,6,29492,9,10,10,,22,,11,,,,,,,1,,,,,22
12814408,08/24/2020 02:50:04 PM,08/28/2020 12:00:00 AM,08/28/2020 12:00:00 AM,Closed,Case Resolved - Completed by BBR-Paint Shop Dwaine Tayson.,DPW Ops Queue,Illegal Postings,Illegal Postings - Affixed_Improperly,Affixed Improperly,Intersection of GREENWOOD AVE and PLYMOUTH AVE,GREENWOOD AVE,7,Westwood Park,INGLESIDE,37.728732770428,-122.456288133906,"(37.72873277, -122.45628813)",Mobile/Open311,http://mobile311.sfgov.org/reports/12814408/photos,71,9,8,41,4,9,4,28861,7,40,40,,71,,8,,,,,,,1,,,,,71
12814449,08/24/2020 02:53:00 PM,08/28/2020 10:18:23 AM,08/28/2020 10:18:23 AM,Closed,Case Resolved - Investigation completed,Muni Feedback Received Queue,Muni Employee Feedback,Muni - Complaint_Pass_Ups_Denial_Inattention,Bus_Not_Stop,Intersection of 15TH AVE and TARAVAL ST,15TH AVE,7,Golden Gate Heights,TARAVAL,37.743239918224,-122.471356713522,"(37.74323992, -122.47135671)",Phone,,46,10,8,41,4,1,5,29491,8,40,40,,46,,8,,,,,,,1,,,,,46
12814538,08/24/2020 03:04:17 PM,08/28/2020 12:00:00 AM,08/28/2020 12:00:00 AM,Closed,Case Resolved - Duplicate of RFA 21437540 -,DPW BSM Queue,Sidewalk or Curb,Sidewalk_Defect,Lifted_sidewalk_other,Intersection of HEMLOCK ST and LAGUNA ST,HEMLOCK ST,5,Japantown,NORTHERN,37.786303376814,-122.42819658492,"(37.78630338, -122.42819658)",Mobile/Open311,http://mobile311.sfgov.org/reports/12814538/photos,101,4,11,15,11,13,6,28858,9,13,13,,101,,11,,,,,,,2,,,,,101
12814582,08/24/2020 03:10:46 PM,,08/28/2020 05:55:13 AM,Open,accepted,DPW BSM Queue,Sidewalk or Curb,Sidewalk_Defect,Lifted_sidewalk_other,"3101 18TH ST, SAN FRANCISCO, CA, 94110",18TH ST,9,Mission,MISSION,37.7617513,-122.4132969,"(37.7617513, -122.4132969)",Web,http://mobile311.sfgov.org/reports/12814582/photos,53,3,2,20,7,2,7,28859,4,19,19,,53,,2,,,3,,,,2,,3,,,53
5354342,12/07/2015 07:47:50 PM,12/10/2015 10:14:50 AM,12/10/2015 10:14:50 AM,Closed,Case Transferred,MUNI Work Queue,MUNI Feedback,MUNI - Commendation,401_Employee_Commendation,Not associated with a specific address,,,,,0,0,"(0.0, 0.0)",Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11868393,12/27/2019 06:44:48 PM,12/27/2019 06:44:51 PM,12/27/2019 06:44:51 PM,Closed,Comment Noted - The report has been logged and will help the City collect data on double parking and bike lane violations to determine target areas and future enforcement efforts. Thank you.,Parking Enforcement Review Queue,Parking Enforcement,Blocking_Bicycle_Lane,Parking Enforcement,"3100 MISSION ST, SAN FRANCISCO, CA, 94110",MISSION ST,9,Bernal Heights,INGLESIDE,37.748158333333,-122.418502777778,"(37.74815833, -122.41850278)",Mobile/Open311,http://mobile311.sfgov.org/reports/11868393/photos,83,3,2,2,7,2,7,28859,4,2,2,,83,,2,,,3,,,,1,,3,,,83
11868383,12/27/2019 06:41:08 PM,12/27/2019 06:41:11 PM,12/27/2019 06:41:11 PM,Closed,Comment Noted - The report has been logged and will help the City collect data on double parking and bike lane violations to determine target areas and future enforcement efforts. Thank you.,Parking Enforcement Review Queue,Parking Enforcement,Blocking_Bicycle_Lane,Parking Enforcement,"1745 MARKET ST, SAN FRANCISCO, CA, 94103",MARKET ST,6,South of Market,SOUTHERN,37.7720105,-122.4228565,"(37.7720105, -122.4228565)",Mobile/Open311,http://mobile311.sfgov.org/reports/11868383/photos,32,1,10,20,9,8,2,28853,2,19,19,,32,,10,,,,,,,2,,,,,32
11868382,12/27/2019 06:41:04 PM,12/27/2019 06:41:07 PM,12/27/2019 06:41:07 PM,Closed,Comment Noted - The report has been logged and will help the City collect data on double parking and bike lane violations to determine target areas and future enforcement efforts. Thank you.,Parking Enforcement Review Queue,Parking Enforcement,Double_Parking,White - Audi - 8mfw881,"1748 QUESADA AVE, SAN FRANCISCO, CA, 94124",QUESADA AVE,10,Silver Terrace,BAYVIEW,37.7340057,-122.3922957,"(37.7340057, -122.3922957)",Web,,87,2,9,1,8,10,3,58,3,1,1,,87,,9,,,,,,,2,,,,,87
12165140,03/02/2020 09:24:00 PM,,03/11/2020 09:31:34 AM,Open,open,Muni Feedback Received Queue,MUNI Feedback,MUNI - Services_Service_Delivery_Facilities,603_Switchback,Intersection of FITZGERALD AVE and KEITH ST,FITZGERALD AVE,10,Bret Harte,BAYVIEW,37.723091125488,-122.395034790039,"(37.72309113, -122.39503479)",Phone,,88,2,9,1,8,10,3,58,3,1,1,,88,,9,,,,,,,2,,,,,88
12814629,08/24/2020 03:16:00 PM,08/28/2020 12:30:41 AM,08/28/2020 12:30:41 AM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of AUSTIN ST and OCTAVIA ST,AUSTIN ST,5,Cathedral Hill,NORTHERN,37.78879042,-122.42707282,"(37.78879042, -122.42707282)",Mobile/Open311,http://mobile311.sfgov.org/reports/12814629/photos,102,4,11,30,11,13,6,28858,9,27,27,,102,,11,,,,,,,1,,,,,102
12814642,08/24/2020 03:18:04 PM,08/28/2020 04:53:38 AM,08/28/2020 04:53:38 AM,Closed,Case Resolved - Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,"1715 OCTAVIA ST, SAN FRANCISCO, CA, 94109",OCTAVIA ST,5,Japantown,NORTHERN,37.78830846,-122.42702253,"(37.78830846, -122.42702253)",Mobile/Open311,http://mobile311.sfgov.org/reports/12814642/photos,101,4,11,30,11,13,6,28858,9,27,27,,101,,11,,,,,,,1,,,,,101
12814907,08/24/2020 04:02:00 PM,08/28/2020 03:11:00 PM,08/28/2020 03:11:00 PM,Closed,Comment Noted - this is not a dpt issue. the 72 hrs limit not enforced covid 19,311 Supervisor Queue,Blocked Street or SideWalk,Blocked_Parking_Space_or_Strip,Construction_equipment blocking parking space,Intersection of JAMESTOWN AVE and GRIFFITH ST,JAMESTOWN AVE,10,Candlestick Point SRA,BAYVIEW,37.716156005859,-122.389999389648,"(37.71615601, -122.38999939)",Phone,,88,2,9,1,8,10,3,58,3,1,1,,88,,9,,,,,,,1,,,,,88
5354309,12/07/2015 07:34:58 PM,12/10/2015 10:13:05 AM,12/10/2015 10:13:05 AM,Closed,Case Transferred,SSP - MTA Feedback Queue,MUNI Feedback,MUNI  - Conduct_Inattentiveness_Negligence,202_Ignored_Stop_Request,Not associated with a specific address,,,,,0,0,"(0.0, 0.0)",Web,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11868450,12/27/2019 07:26:00 PM,12/27/2019 07:44:33 PM,12/27/2019 07:44:33 PM,Closed,Case Resolved - Officer responded to request under CAD # 193613179. Unable to Locate.,Parking Enforcement Dispatch Queue,Parking Enforcement,Parking_on_Sidewalk,Parking Enforcement,"2710 CABRILLO ST, SAN FRANCISCO, CA, 94121",CABRILLO ST,1,Outer Richmond,RICHMOND,37.774378121078,-122.487784980557,"(37.77437812, -122.48778498)",Mobile/Open311,,8,8,4,29,2,11,9,55,6,26,26,,8,,4,,,,,,,1,,,,,8
11868449,12/27/2019 07:25:00 PM,12/27/2019 07:38:04 PM,12/27/2019 07:38:04 PM,Closed,Case Resolved - Officer responded to request under CAD # 193613157.  Citation was issued.,Parking Enforcement Dispatch Queue,Parking Enforcement,Parking_on_Sidewalk,Parking Enforcement,"675 22ND AVE, SAN FRANCISCO, CA, 94121",22ND AVE,1,Outer Richmond,RICHMOND,37.775038960732,-122.481338432587,"(37.77503896, -122.48133843)",Mobile/Open311,,8,8,4,29,2,11,9,55,6,26,26,,8,,4,,,,,,,1,,,,,8
11868438,12/27/2019 07:16:00 PM,12/27/2019 07:39:50 PM,12/27/2019 07:39:50 PM,Closed,Case Resolved - Officer responded to request under CAD # 193613141.  Citation was issued.,Parking Enforcement Dispatch Queue,Parking Enforcement,Other_Illegal_Parking,grey - Honda CRV - 6LEP588,"500 KIRKHAM ST, SAN FRANCISCO, CA, 94122",KIRKHAM ST,7,Inner Sunset,TARAVAL,37.7604229,-122.46633234,"(37.7604229, -122.46633234)",Phone,,109,10,8,14,4,1,5,56,8,12,12,,109,,8,,,,,,,1,,,,,109
11868433,12/27/2019 07:13:10 PM,12/27/2019 07:13:13 PM,12/27/2019 07:13:13 PM,Closed,Comment Noted - The report has been logged and will help the City collect data on double parking and bike lane violations to determine target areas and future enforcement efforts. Thank you.,Parking Enforcement Review Queue,Parking Enforcement,Blocking_Bicycle_Lane,Parking Enforcement,"756 VALENCIA ST, SAN FRANCISCO, CA, 94110",VALENCIA ST,8,Mission Dolores,MISSION,37.76085447715,-122.42166025485,"(37.76085448, -122.42166025)",Mobile/Open311,http://mobile311.sfgov.org/reports/11868433/photos,37,3,5,20,5,2,7,28859,4,19,19,,37,,5,,,,,,,1,,,,,37
12814727,08/24/2020 03:34:00 PM,08/31/2020 06:38:00 PM,08/31/2020 06:38:00 PM,Closed,Case is a Duplicate,Assessor - Real Property,General Request - ASSESSOR RECORDER,customer_callback,public_service_exemptions - customer_callback,"2146 18TH AVE, SAN FRANCISCO, CA, 94116",18TH AVE,7,Golden Gate Heights,TARAVAL,37.747802734375,-122.474792480469,"(37.74780273, -122.47479248)",Phone,,44,10,8,41,4,1,5,29491,8,40,40,,44,,8,,,,,,,1,,,,,44
11868442,12/27/2019 07:20:00 PM,01/13/2020 10:23:38 AM,01/13/2020 10:23:38 AM,Closed,Agencies responded to request and no encampment in area. Area verified clean.,Duplicate Case Hold Queue,Encampments,Encampment Reports,Encampment Cleanup,"539 GOUGH ST, SAN FRANCISCO, CA, 94102",GOUGH ST,5,Hayes Valley,NORTHERN,37.77839667,-122.423295,"(37.77839667, -122.423295)",Mobile/Open311,http://mobile311.sfgov.org/reports/11868442/photos,22,4,11,9,11,7,6,28852,9,10,10,,22,1,11,,,1,,,,1,,1,,,22
11868420,12/27/2019 06:56:00 PM,01/07/2020 09:21:01 AM,01/07/2020 09:21:01 AM,Closed,Encampment Removed,Duplicate Case Hold Queue,Encampments,Encampment Reports,Encampment Cleanup,"1016 EDDY ST, SAN FRANCISCO, CA, 94109",EDDY ST,5,Cathedral Hill,NORTHERN,37.78235850263,-122.424636940048,"(37.7823585, -122.42463694)",Mobile/Open311,http://mobile311.sfgov.org/reports/11868420/photos,100,4,11,39,11,7,6,28852,9,41,41,,100,,11,,,,,,,2,,,,,100
12815087,08/24/2020 04:40:00 PM,08/28/2020 09:28:51 AM,08/28/2020 09:28:51 AM,Closed,"Outreach provided per accordance to CDC Covid-19 guidelines. Visit SF.GOV for more info.
DPW responded yesterday to gather needles and debris. As of this am (1st photo) street and sidewalk are ADA wheelchair accessible and parking spaces are not obstructed. DPW & HOT TEAM are scheduled to be out today to address this encampment.",HSOC Queue,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,"2179 15TH ST, SAN FRANCISCO, CA, 94114",15TH ST,8,Duboce Triangle,PARK,37.765777788235,-122.432821527911,"(37.76577779, -122.43282153)",Mobile/Open311,http://mobile311.sfgov.org/reports/12815087/photos,28,7,5,5,5,15,8,28862,5,3,3,,28,,5,,,,,,,1,,5,,,28
12815220,08/24/2020 05:10:54 PM,08/28/2020 04:07:47 AM,08/28/2020 04:07:47 AM,Closed,Case Resolved - Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,"1802 MARKET ST, SAN FRANCISCO, CA, 94102",MARKET ST,8,Mint Hill,SOUTHERN,37.77178833,-122.42366667,"(37.77178833, -122.42366667)",Mobile/Open311,http://mobile311.sfgov.org/reports/12815220/photos,27,1,5,9,5,7,2,28852,2,10,10,,27,,5,,,,,9,,1,,,,,27
11868485,12/27/2019 07:50:14 PM,01/08/2020 09:30:13 PM,01/08/2020 09:30:13 PM,Closed,Case Resolved - Per process - cases are closed 10 days after assignment.,Clear Channel - Transit Queue,Graffiti,Graffiti on Transit_Shelter_Platform,Transit_Shelter_Platform - Not_Offensive,"1300 GEARY BLVD, SAN FRANCISCO, CA, 94109",GEARY BLVD,5,Cathedral Hill,NORTHERN,37.78547914,-122.42518555,"(37.78547914, -122.42518555)",Mobile/Open311,http://mobile311.sfgov.org/reports/11868485/photos,100,4,11,15,11,13,6,28858,9,13,13,,100,,11,,,,,,,2,,,,,100
11868497,12/27/2019 08:01:00 PM,12/27/2019 08:15:03 PM,12/27/2019 08:15:03 PM,Closed,Case Resolved - Officer responded to request under CAD # 193613294.  Citation was issued.,Parking Enforcement Dispatch Queue,Parking Enforcement,Parking_on_Sidewalk,Parking Enforcement,"627 22ND AVE, SAN FRANCISCO, CA, 94121",22ND AVE,1,Outer Richmond,RICHMOND,37.77587677476,-122.481356302887,"(37.77587677, -122.4813563)",Mobile/Open311,,8,8,4,29,2,11,9,55,6,26,26,,8,,4,,,,,,,1,,,,,8
11868494,12/27/2019 07:57:00 PM,12/27/2019 08:02:07 PM,12/27/2019 08:02:07 PM,Closed,Case Resolved - See CAD# 193613275 for details.,Parking Enforcement Dispatch Queue,Parking Enforcement,Blocking_Driveway_Cite_Tow,gray/blue - Toyota Corolla - 7LAC861,"49 VERNON ST, SAN FRANCISCO, CA, 94132",VERNON ST,11,Merced Heights,TARAVAL,37.713434,-122.46810798,"(37.713434, -122.46810798)",Phone,,65,10,1,24,6,9,5,64,8,24,24,,65,,1,,,,,,,2,,,,,65
11868484,12/27/2019 07:50:00 PM,12/27/2019 09:01:00 PM,12/27/2019 09:01:00 PM,Closed,Case is a Duplicate,DPW Ops Queue,General Request - PUBLIC WORKS,request_for_service,bsm - request_for_service,"504 CASTRO ST, SAN FRANCISCO, CA, 94114",CASTRO ST,8,Castro,MISSION,37.76080705229,-122.434967318664,"(37.76080705, -122.43496732)",Mobile/Open311,http://mobile311.sfgov.org/reports/11868484/photos,38,3,5,5,5,2,7,28862,4,3,3,1,38,,5,1,,,1,9,,1,,5,,,38
